SAT,TOTHRS,COLGPA,ATHLETE,VERBMATH,HSIZE,HSRANK,HSPERC,FEMALE,BLACK,WHITE
920,43,2.04,1,0.48387,0.1,4,40,1,0,0
1170,18,4,0,0.82813,9.4,191,20.31915,0,0,1
810,14,1.78,1,0.88372,1.19,42,35.29412,0,0,1
940,40,2.42,0,0.80769,5.71,252,44.1331,0,0,1
1180,18,2.61,0,0.73529,2.14,86,40.18692,0,0,1
980,114,3.03,0,0.81481,2.68,41,15.29851,1,0,1
880,78,1.84,0,0.76,3.11,161,51.76849,0,0,0
980,55,3.05,0,0.88462,2.68,101,37.68657,0,0,1
1240,18,3,0,0.69863,3.67,161,43.86921,0,0,1
1230,17,2,0,0.86364,0.1,3,30,0,0,1
1140,78,2.98,0,0.9322,3.34,95,28.44311,1,0,1
1150,43,2.93,0,0.85484,3.59,13,3.62117,1,0,1
1080,17,2,1,0.8,3.18,31,9.748427,0,0,1
990,64,2.21,0,0.67797,1.92,51,26.5625,1,0,1
1000,45,3.33,0,0.78571,3.69,29,7.859078,1,0,1
1050,14,1.07,0,0.77966,2.66,134,50.37594,1,0,1
1160,41,2.29,0,0.87097,1.45,99,68.27586,1,0,1
1190,13,3.15,0,1.125,1.76,74,42.04546,0,0,1
1030,110,2.65,0,1.10204,3.86,81,20.98446,1,0,1
960,106,2.41,1,1,3.83,66,17.23238,0,0,1
840,104,2.39,0,0.64706,1.07,7,6.542056,0,0,1
920,115,2.64,0,1,2.17,65,29.95392,1,0,1
840,96,2.18,0,0.86667,2.34,141,60.25641,1,0,1
1000,50,2.84,0,0.78571,4.63,133,28.7257,0,0,1
1150,100,2.84,0,0.79688,5.95,301,50.58823,1,0,1
1040,112,2.93,0,0.96226,0.91,30,32.96703,0,0,1
970,17,2.29,0,0.7963,4.36,41,9.403669,1,0,1
1200,39,2.38,0,0.90476,8.12,209,25.73892,1,0,1
1090,118,3.92,0,0.75806,0.6,2,3.333333,1,0,1
1340,46,2.23,0,0.83562,3.76,130,34.57447,0,0,1
740,12,1.33,0,1.3125,5.32,390,73.30827,1,0,1
880,85,2.81,0,0.76,3.8,71,18.68421,0,0,1
820,42,2.09,1,0.90698,2.28,155,67.98245,0,0,1
1060,43,2.25,0,0.85965,5.51,248,45.00908,0,0,1
730,50,1.9,1,0.78049,4.82,273,56.639,0,1,0
820,16,3,0,0.86364,3.9,102,26.15385,1,0,1
780,71,2.4,1,0.69565,0.78,17,21.79487,0,0,1
1040,78,2.16,0,1.03922,4.92,92,18.69919,0,0,1
870,13,2.07,0,1.175,1.86,86,46.23656,1,0,1
940,19,2.21,0,1.29268,1.85,41,22.16216,0,0,1
980,47,2,1,0.92157,1.52,45,29.60526,0,1,0
1020,103,2.91,0,0.96154,0.1,2,20,1,0,1
1180,105,3,1,0.87302,6.37,255,40.0314,0,0,1
1100,72,2.72,0,1.11538,0.12,2,16.66667,0,0,1
1030,18,3.55,0,1.10204,2.52,27,10.71429,0,0,1
