ftpo_pres,republican,democrat,independent,partisanship,relig_pray
,0,1,0,Democrat,2
100,0,1,0,Democrat,1
100,0,1,0,Democrat,1
100,0,1,0,Democrat,3
100,0,0,1,Independent,2
100,,,,,2
100,0,1,0,Democrat,4
100,0,0,1,Independent,1
85,0,1,0,Democrat,1
40,1,0,0,Republican,4
50,0,0,1,Independent,3
30,0,0,1,Independent,5
85,0,1,0,Democrat,1
50,0,0,1,Independent,3
30,1,0,0,Republican,3
0,1,0,0,Republican,3
0,1,0,0,Republican,1
70,0,1,0,Democrat,3
85,1,0,0,Republican,1
100,0,0,1,Independent,1
50,1,0,0,Republican,5
0,0,0,1,Independent,1
50,0,1,0,Democrat,3
,0,1,0,Democrat,1
50,0,0,1,Independent,1
,0,1,0,Democrat,1
0,0,0,1,Independent,1
30,1,0,0,Republican,1
70,0,0,1,Independent,5
85,0,0,1,Independent,2
100,0,0,1,Independent,4
85,0,0,1,Independent,3
70,0,0,1,Independent,3
70,0,0,1,Independent,2
85,0,1,0,Democrat,4
60,0,0,1,Independent,5
60,0,0,1,Independent,3
85,0,0,1,Independent,2
85,0,1,0,Democrat,4
70,0,0,1,Independent,2
30,1,0,0,Republican,2
98,0,1,0,Democrat,1
80,0,1,0,Democrat,2
0,0,0,1,Independent,3
0,1,0,0,Republican,3
0,1,0,0,Republican,1
15,1,0,0,Republican,1
0,0,0,1,Independent,5
40,1,0,0,Republican,3
0,1,0,0,Republican,2
85,0,1,0,Democrat,1
0,1,0,0,Republican,2
0,,,,,4
60,,,,,4
50,0,0,1,Independent,4
85,0,1,0,Democrat,2
85,1,0,0,Republican,3
60,0,1,0,Democrat,5
70,0,1,0,Democrat,4
85,0,1,0,Democrat,5
0,1,0,0,Republican,5
100,0,1,0,Democrat,5
85,0,1,0,Democrat,1
25,1,0,0,Republican,1
30,0,0,1,Independent,5
40,0,0,1,Independent,5
85,0,1,0,Democrat,3
90,0,1,0,Democrat,3
75,0,1,0,Democrat,3
90,0,1,0,Democrat,4
70,,,,,3
85,0,1,0,Democrat,4
30,0,0,1,Independent,5
100,0,1,0,Democrat,1
15,1,0,0,Republican,1
40,0,1,0,Democrat,4
0,0,0,1,Independent,1
70,0,0,1,Independent,1
50,1,0,0,Republican,5
70,0,1,0,Democrat,2
100,0,1,0,Democrat,5
,,,,,2
85,0,1,0,Democrat,3
50,0,0,1,Independent,5
40,1,0,0,Republican,4
85,0,1,0,Democrat,4
85,0,1,0,Democrat,3
85,0,0,1,Independent,4
15,1,0,0,Republican,4
40,0,0,1,Independent,4
0,1,0,0,Republican,1
30,1,0,0,Republican,3
,0,0,1,Independent,1
70,0,1,0,Democrat,3
60,0,0,1,Independent,5
100,0,1,0,Democrat,1
60,1,0,0,Republican,1
15,1,0,0,Republican,1
40,0,0,1,Independent,3
85,0,0,1,Independent,2
15,1,0,0,Republican,3
30,1,0,0,Republican,1
40,1,0,0,Republican,2
55,1,0,0,Republican,4
15,1,0,0,Republican,2
60,,,,,3
100,0,1,0,Democrat,1
100,0,1,0,Democrat,1
,0,1,0,Democrat,1
85,0,1,0,Democrat,2
85,0,1,0,Democrat,1
100,0,1,0,Democrat,1
100,0,1,0,Democrat,2
60,,,,,1
85,0,1,0,Democrat,3
,0,1,0,Democrat,1
85,0,1,0,Democrat,2
30,0,1,0,Democrat,5
85,0,1,0,Democrat,4
40,0,0,1,Independent,1
100,0,1,0,Democrat,3
70,,,,,5
,0,1,0,Democrat,1
40,0,1,0,Democrat,2
0,1,0,0,Republican,3
,0,1,0,Democrat,5
70,0,0,1,Independent,2
85,0,1,0,Democrat,3
85,0,0,1,Independent,4
60,0,0,1,Independent,2
85,0,1,0,Democrat,2
100,0,0,1,Independent,4
100,0,1,0,Democrat,2
85,0,0,1,Independent,4
85,0,0,1,Independent,2
50,,,,,1
30,,,,,1
85,0,1,0,Democrat,3
100,0,0,1,Independent,1
40,0,0,1,Independent,4
30,0,0,1,Independent,4
85,0,1,0,Democrat,3
15,0,0,1,Independent,3
60,1,0,0,Republican,1
15,1,0,0,Republican,3
100,0,1,0,Democrat,1
30,1,0,0,Republican,3
100,0,1,0,Democrat,1
100,0,1,0,Democrat,1
100,0,1,0,Democrat,1
85,0,1,0,Democrat,1
30,1,0,0,Republican,1
40,1,0,0,Republican,1
100,0,0,1,Independent,1
50,0,0,1,Independent,2
40,0,1,0,Democrat,1
85,0,1,0,Democrat,2
,0,0,1,Independent,3
70,0,1,0,Democrat,5
40,0,0,1,Independent,2
70,,,,,5
50,0,1,0,Democrat,1
70,,,,,3
50,0,1,0,Democrat,3
50,0,0,1,Independent,2
0,0,0,1,Independent,1
100,0,0,1,Independent,1
60,1,0,0,Republican,5
75,0,1,0,Democrat,5
60,0,0,1,Independent,5
0,1,0,0,Republican,1
70,0,0,1,Independent,5
30,1,0,0,Republican,2
15,1,0,0,Republican,2
40,1,0,0,Republican,3
50,0,0,1,Independent,3
60,0,1,0,Democrat,5
30,0,0,1,Independent,3
70,0,0,1,Independent,1
60,0,0,1,Independent,2
70,1,0,0,Republican,4
60,1,0,0,Republican,4
,0,0,1,Independent,1
30,0,0,1,Independent,3
40,,,,,4
70,0,1,0,Democrat,2
100,0,1,0,Democrat,2
15,1,0,0,Republican,5
100,,,,,4
