sat,tothrs,colgpa,athlete,verbmath,hsize,hsrank,hsperc,female,while,black,hsizesq
920,43,2.04,1,.48387,.1,4,40,1,0,0,.0099999998
1170,18,4,0,.82813001,9.3999996,191,20.319151,0,1,0,88.360001
810,14,1.78,1,.88371998,1.1900001,42,35.294121,0,1,0,1.4161
940,40,2.4200001,0,.80769002,5.71,252,44.133099,0,1,0,32.604099
1180,18,2.6099999,0,.73528999,2.1400001,86,40.18692,0,1,0,4.5795999
980,114,3.03,0,.81480998,2.6800001,41,15.29851,1,1,0,7.1824002
880,78,1.84,0,.75999999,3.1099999,161,51.76849,0,0,0,9.6721001
980,55,3.05,0,.88462001,2.6800001,101,37.686569,0,1,0,7.1824002
1240,18,3,0,.69862998,3.6700001,161,43.869209,0,1,0,13.4689
1230,17,2,0,.86364001,.1,3,30,0,1,0,.0099999998
1140,78,2.98,0,.93220001,3.3399999,95,28.44311,1,1,0,11.1556
1150,43,2.9300001,0,.85483998,3.5899999,13,3.62117,1,1,0,12.8881
1080,17,2,1,.80000001,3.1800001,31,9.7484274,0,1,0,10.1124
990,64,2.21,0,.67796999,1.92,51,26.5625,1,1,0,3.6863999
1000,45,3.3299999,0,.78570998,3.6900001,29,7.8590779,1,1,0,13.6161
1050,14,1.0700001,0,.77965999,2.6600001,134,50.375938,1,1,0,7.0756001
1160,41,2.29,0,.87097001,1.45,99,68.275864,1,1,0,2.1025
1190,13,3.1500001,0,1.125,1.76,74,42.04546,0,1,0,3.0976
1030,110,2.6500001,0,1.1020401,3.8599999,81,20.984461,1,1,0,14.8996
960,106,2.4100001,1,1,3.8299999,66,17.23238,0,1,0,14.6689
840,104,2.3900001,0,.64705998,1.0700001,7,6.5420561,0,1,0,1.1449
920,115,2.6400001,0,1,2.1700001,65,29.95392,1,1,0,4.7089
840,96,2.1800001,0,.86667001,2.3399999,141,60.256409,1,1,0,5.4755998
1000,50,2.8399999,0,.78570998,4.6300001,133,28.7257,0,1,0,21.436899
1150,100,2.8399999,0,.79688001,5.9499998,301,50.58823,1,1,0,35.4025
1040,112,2.9300001,0,.96226001,.91000003,30,32.96703,0,1,0,.82810003
970,17,2.29,0,.79629999,4.3600001,41,9.4036694,1,1,0,19.0096
1200,39,2.3800001,0,.90476,8.1199999,209,25.73892,1,1,0,65.934402
1090,118,3.9200001,0,.75805998,.60000002,2,3.333333,1,1,0,.36000001
1340,46,2.23,0,.83561999,3.76,130,34.574471,0,1,0,14.1376
740,12,1.33,0,1.3125,5.3200002,390,73.308273,1,1,0,28.302401
880,85,2.8099999,0,.75999999,3.8,71,18.68421,0,1,0,14.44
820,42,2.0899999,1,.90697998,2.28,155,67.982452,0,1,0,5.1984
1060,43,2.25,0,.85965002,5.5100002,248,45.009079,0,1,0,30.3601
730,50,1.9,1,.78048998,4.8200002,273,56.639,0,0,1,23.232401
820,16,3,0,.86364001,3.9000001,102,26.153851,1,1,0,15.21
780,71,2.4000001,1,.69564998,.77999997,17,21.79487,0,1,0,.60839999
1040,78,2.1600001,0,1.03922,4.9200001,92,18.69919,0,1,0,24.2064
870,13,2.0699999,0,1.175,1.86,86,46.236561,1,1,0,3.4596
940,19,2.21,0,1.29268,1.85,41,22.162161,0,1,0,3.4224999
980,47,2,1,.92157,1.52,45,29.605261,0,0,1,2.3104
1020,103,2.9100001,0,.96153998,.1,2,20,1,1,0,.0099999998
1180,105,3,1,.87301999,6.3699999,255,40.031399,0,1,0,40.5769
1100,72,2.72,0,1.11538,.12,2,16.66667,0,1,0,.0144
1030,18,3.55,0,1.1020401,2.52,27,10.71429,0,1,0,6.3504
960,16,3.25,0,1.04255,.1,5,50,1,1,0,.0099999998
910,15,2.8599999,0,1.45946,1.27,28,22.047251,0,1,0,1.6129
1060,42,2.04,0,.96296,.13,1,7.692307,0,1,0,.016899999
880,14,1.92,0,1.3783799,.029999999,1,33.333328,1,1,0,.00089999998
1010,17,3.5799999,0,.94230998,.28,2,7.1428571,1,1,0,.078400001
700,38,2.3900001,1,1,.31999999,22,68.75,0,1,0,.1024
930,15,3.46,0,.86000001,3.72,67,18.01075,1,1,0,13.8384
900,18,3.1600001,0,.91488999,2.54,69,27.16535,0,1,0,6.4516001
1090,29,1.03,0,.91228002,2.02,121,59.90099,0,1,0,4.0804
1120,79,3,0,1.24,4.6999998,78,16.595751,1,0,0,22.09
960,15,2.3299999,1,.77778,4.4699998,320,71.588364,0,0,1,19.9809
890,37,2.45,1,.77999997,1.24,50,40.322578,0,1,0,1.5376
