ccode,pop,rgdpch,democracy,vdiss,vdissdum,repression
2,240589,23671.9609375,.6156,0,0,-1.637
20,25538.86,19488.859375,.9518,0,0,-1.342
40,9982.299999999999,5356.10009765625,-4.976,.0008,0,.54329997
41,5354.53,2281.780029296875,-3.715,.0006,0,.36849999
42,6241.05,4323.10986328125,-.522,.0002,0,-.43220001
51,2347.18,3784.580078125,-1.375,.0002,0,-.3955
52,1150.26,11244.740234375,-.2453,.0004,0,-1.51
70,74514.26,7007.4599609375,-1.611,.0004,0,.63319999
90,8123.77,3608.550048828125,-3.264,.9962,1,1.558
91,4072.44,2283.8798828125,-.8675000000000001,.002399,0,.59640002
92,4587.63,3661.429931640625,-1.548,.9944,1,1.5549999
93,3119.13,5544.31005859375,-2.213,.9886,1,.81730002
94,2567.52,6183.16015625,.654,.0004,0,-1.255
95,2119.77,6095.89990234375,-2.214,.0006,0,.094319999
100,29027.92,4797.0400390625,-.1972,.9936,1,.82209998
101,16544.52,7729.2001953125,.6361,.0012,0,-.23639999
110,759.79,2673.85009765625,-1.957,.0002,0,.37380001
130,8825.83,4692.5498046875,-.3049,.0002,0,-.19930001
135,19171.37,4309.02978515625,-.7142,.9954,1,1.313
140,134626.22,6064.22998046875,-2.798,.0004,0,.1987
145,5834.29,2628.18994140625,-.7877,0,0,.28349999
150,3563.62,4869.85986328125,-2.517,.0008,0,.51590002
155,11879.14,5756.31982421875,-3.937,.0008,0,.79250002
160,30235.57,9822.9697265625,-.7518,0,0,-.40990001
165,2990.1,6760.47998046875,-1.256,.0002,0,.36950001
200,55884.65,16383.9404296875,1.222,.01919,0,-1.137
205,3526.01,10737.0703125,.9099,.0002,0,-1.179
211,9852.940000000001,17383.759765625,2.696,0,0,-1.176
212,365.82,22152.080078125,1.211,0,0,-1.4119999
220,54992.65,18275.150390625,1.684,.001,0,-1.146
225,6478.92,24328.580078125,.8842,0,0,-1.329
230,38318.81,12283.6103515625,.909,.0004,0,-.9228
235,9993.75,9802.1904296875,1.177,0,0,-1.257
290,36919.55,5528.35986328125,-3.875,.0006,0,.25299999
305,7564.17,18730.439453125,1.287,.002999,0,-1.322
310,10620.52,9457.3798828125,-4.181,0,0,-.7094
325,56588.57,16494.05078125,2.621,0,0,-1.3609999
339,2896,3961.52001953125,-4.36,0,0,.59240001
345,22966,7645.6298828125,-4.307,.0004,0,.2498
350,9892.35,11261.6201171875,1.128,.0002,0,-1.056
352,639.9,10047.5302734375,1.333,.0012,0,-.81120002
355,8928.27,6543.97021484375,-4.32,.0006,0,.2985
