COUNTRY,TFR,CONTRACP,LIFEML,LIFEFML,INFMORT,GDPPRCAP,ECNML,ECNFML,ILITML,ILITFML,EDUCML,EDUCFML
Algeria,3.81,52.00,67.50,70.30,44.00,1531.00,76.40,7.80,26.10,51.00,11.1,9.9
Australia,1.89,76.00,75.40,81.20,6.00,20046.00,74.00,53.80,,,16.3,16.1
Austria,1.42,71.00,73.70,80.10,6.00,29006.00,69.50,47.70,,,14.4,14.2
Bahamas,1.95,62.00,70.50,77.10,14.00,12545.00,81.20,67.00,1.50,2.00,12.1,13.2
Bahrain,2.97,53.00,71.10,75.30,18.00,9073.00,88.20,29.20,10.90,20.60,12.6,13.3
Belgium,1.62,79.00,73.90,80.60,7.00,26582.00,,,,,15.6,15.4
Belize,3.66,47.00,73.40,76.10,30.00,2569.00,79.00,34.00,21.25,23.47,10.6,10.4
Botswa.,4.45,33.00,48.90,51.70,56.00,3640.00,75.40,41.70,19.50,40.10,10.5,10.7
Burki..Faso,6.57,8.00,45.10,47.00,97.00,165.00,88.90,79.40,70.50,90.80,3.3,2
Burundi,6.28,9.00,45.50,48.80,114.00,205.00,90.10,90.60,50.70,77.50,5.1,4
Ca.da,1.61,66.00,76.10,81.80,6.00,18943.00,72.40,57.60,,,17.2,17.8
Chile,2.44,30.00,72.30,78.30,13.00,4736.00,75.50,34.50,4.60,5.00,11.8,11.7
Cuba,1.55,70.00,74.20,78.00,9.00,1983.00,72.60,41.20,3.80,4.70,10.9,11.7
Czech.Republic,1.40,69.00,69.80,76.00,9.00,4450.00,71.50,52.10,,,13.1,13.1
Dem.Rep.of.the.Congo,6.24,8.00,51.30,54.50,89.00,117.00,,,13.40,32.30,6.8,4.4
Denmark,1.82,78.00,73.00,78.30,7.00,33191.00,83.20,72.30,,,14.5,14.8
Dominican.Republic,2.80,64.00,68.90,73.10,34.00,1508.00,82.60,42.90,18.00,17.80,11.1,11.3
Egypt,3.40,47.00,64.70,67.30,54.00,973.00,73.40,21.60,36.40,61.20,10.8,8.8
El.Salvador,3.09,53.00,66.50,72.50,39.00,1660.00,79.80,40.60,26.50,30.20,9.6,9.9
Eritrea,5.34,5.00,49.10,52.10,98.00,96.00,,,,,4.6,3.5
Estonia,1.30,70.00,63.90,75.00,12.00,2433.00,71.50,54.10,0.20,0.20,12.2,12.9
France,1.63,77.00,74.60,82.90,7.00,26444.00,62.70,48.40,,,15.2,15.6
Gambia,5.20,12.00,45.40,48.70,122.00,321.00,70.20,44.80,47.20,75.10,6.1,4
Georgia,1.90,17.00,68.50,76.70,23.00,343.00,75.00,58.00,0.30,0.60,10.1,10.4
Germany,1.30,75.00,73.40,79.90,6.00,29632.00,68.10,47.30,,,15.4,14.8
Hong.Kong,1.32,86.00,76.10,81.80,5.00,22898.00,76.00,47.80,4.00,11.80,12.6,12.7
Hungary,1.40,73.00,64.50,73.80,14.00,4325.00,61.10,43.40,0.70,1.00,12.3,12.6
